Place ID,Name,Address,Rating,Types
ChIJXa__6SVYei4R8qGHzYzQOv4,Malioboro Prime Hotel Yogyakarta,"Jl. Ps. Kembang No.9, Sosromenduran, Kota Yogyakarta",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJf0XmxFX3ei4RZfnmA4PS3WI,Sayana Homestay,"Dusun Perumahan, Jl. Gumuk Indah No.B 75, RT.08/RW.26, Besi, Sidoarum, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJOw8nKqVXei4RUHtwMmnHyCc,Lynn Hotel By Horison,"Jl. Jogokaryan No.82, Mantrijeron, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJn_hHovFYei4R7SraVU64p0Q,Sunrise Hotel Jombor Yogyakarta,"Jalan Magelang KM 6.5, Sinduadi, Mlati, Jombor Lor, Sinduadi, Kabupaten Sleman",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJFzyDzfNYei4RvVyrKGetIXs,The Atrium Hotel and Resort Yogyakarta,"Jl. Kebon Agung No.20, Mlati Dukuh, Sendangadi, Kabupaten Sleman",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJ6dcqDiZYei4RFh-QhU1gI6M,Hotel Amalia Malioboro,"GT. I Malioboro, Jl. Sosrowijayan No.108, Sosromenduran, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJAcg6H4tXei4RxFebEEV_kwk,Cavinton Hotel Yogyakarta by Tritama Hospitality,"Jl. Letjen Suprapto No.1, Ngampilan, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJe7GbdL1Xei4RCB3HZW5I4ZI,LIVINN YOGYA HOTEL,"Jl. Babaran No.103, Warungboto, Kota Yogyakarta",4.5,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']"
ChIJTRRNdqNXei4RkaYnnn8KmjQ,Indies Heritage Hotel,"Jl. Prawirotaman 3 Timuran No.3, Brontokusuman, Kota Yogyakarta",4.3,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJJSe9NsVZei4R5VPu8W-tcTs,Hotel Ibis Laksda Adisucipto,"Jl. Laksda Adisucipto No.80, Demangan Baru, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJOUb3xiVYei4RX9H4KOmFhek,Hotel NEO Malioboro,"Jl. Ps. Kembang No.21, Sosromenduran, Kota Yogyakarta",4.5,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJi-euFiZYei4R5K4k92fyWiI,PYRENEES Malioboro Yogyakarta,"Sosrowijayan St No.1, Sosromenduran, Yogyakarta City",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJpzMUamNXei4RKg_EuMfcIlk,POP! Hotel Timoho - Yogyakarta,"Jl. Ipda Tut Harsono No.11, Muja Muju, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJE97GMSZYei4R8uDgUuPhrv0,Hotel Noola Malioboro,"Jl. Parangtritis No.15, RW.08, Brontokusuman, Kota Yogyakarta",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJo6UU5cZZei4RiP74NgSWyr4,Aveta Hotel Malioboro,"Jl. Malioboro No.42, Suryatmajan, Kota Yogyakarta",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJLajaXMNZei4R0rbaWdC37ms,GRAMM HOTEL by Ambarrukmo (formerly - Grand Ambarrukmo),"Jl. Laksda Adisucipto No.82, Ambarukmo, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJL0XlfydYei4R_FcCvNNZnio,Amaris Hotel Malioboro Jogja,"Jl. Pajeksan No.10, Sosromenduran, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJSxYTlR9Yei4RDPRaPbssVio,Forriz Hotel Yogyakarta,"Jl. HOS Cokroaminoto No.60, Pakuncen, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJ-71OrWxZei4R4QlR85HOJWQ,La Casa Jogja,"Jalan Gejayan /Affandi No.53, Karang Gayam, Caturtunggal, Kabupaten Sleman",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJ598HKzlZei4RroOx5UvbPbw,D'Paragon Malioboro,"Jl. Kp. Sitisewu, Sosromenduran, Kota Yogyakarta",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJPw0C551Xei4RaGlHRsl5-JM,Sans Hotel Prime Cailendra Yogyakarta,"Jl. Taman Siswa No.91, Wirogunan, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJIcEXZfZYei4RNngAcEceevs,The Rich Jogja Hotel,"Jl. Magelang No.18 Km.6, Kutu Patran, Sinduadi, Kabupaten Sleman",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJSdkGihf5ei4RO0N4GgyiAPQ,The Amartya Jogjakarta Hotel,"Jl. Ringroad Barat No.288, Area Sawah, Banyuraden, Kabupaten Sleman",4.4,"['lodging', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJ1YehTWRXei4RhFDAZ4-qQLM,favehotel Kusumanegara,"Jl. Kusumanegara No.91, Muja Muju, Kota Yogyakarta",4.6,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJTeHiJ-1Zei4Rg7vVGbLFBKU,Ceria Boutique Hotel,"Jl. Babarsari No.23B, Tambak Bayan, Condongcatur, Kabupaten Sleman",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJzZGnBKRZei4RUi1W_WPFujk,Grand Sarila,"Jl. Affandi Jl. Gejayan Soropadan XII No.03, Kaliwaru, Condongcatur, Kabupaten Sleman",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJi6QsPnP4ei4RvjIwjsp-cpU,De'gadri Ndalem Hotel,"Jl. Ring Road Selatan No.320, Ngrame, Tamantirto, Kabupaten Bantul",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJU8l4yvZYei4ROTh_a234Zgg,Kangen Boutique Hotel,"Magelang St KM.5,8, Kutu Patran, Sinduadi, Sleman Regency",3.8,"['lodging', 'point_of_interest', 'establishment']"
ChIJfY2XWq1Zei4RxW9hFtkamQo,Cakra Kusuma Hotel Yogyakarta,"Jl. Kaliurang No.25 KM.5,2, Karang Wuni, Caturtunggal, Kabupaten Sleman",4.2,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ_4jKtRhYei4Ry3626jQv87g,Top Malioboro Hotel Jogja,"Jl. HOS Cokroaminoto No.145, Tegalrejo, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJ_WpI_rNZei4RlmtkQEkxyb0,UNY Hotel,"Universitas Negeri Yogyakarta, Jl. Karangmalang Jl. Colombo Yogyakarta, Karang Malang, Caturtunggal, Kabupaten Sleman",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJY23L6LZZei4ReBTbDMPP0kM,D'Paragon Karangmalang Yogyakarta,"Blk. B, Jl. Karangmalang No.17, Karang Gayam, Caturtunggal, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJ03hNnKtZei4R06-uGSbkEAI,Hotel Cakra Kembang,"Kaliurang St No.6, RW.40, Manggung, Caturtunggal, Sleman Regency",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJl3ZXLu9Zei4RAX77gQDG-kc,Eastparc Hotel Yogyakarta,"Jalan Laksda Adisucipto KM. 6.5 No.1, Ngentak, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJ114WA6BXei4RXvyAZf5kA08,Urbanview Hotel Heryon Taman Siswa Jogja,"Jl. Menteri Supeno No.28D, Sorosutan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJP2_dompXei4Ro6bugNwkHcs,Kalya Hotel,"Jl. Gedongkuning No.118, Rejowinangun, Kota Yogyakarta",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJawos48VZei4RGXTSV1zxkNs,Loman Park Hotel Yogyakarta,"Jl. Affandi Jl. Kolombo, Gejayan, Complex, Kabupaten Sleman",4.8,"['lodging', 'point_of_interest', 'establishment']"
ChIJ-_rW8575ei4RWk4ISJvFEeY,Dangau Datuk Guesthouse & Resto,"Jl. Ringroad Barat No.47, Gamping Kidul, Ambarketawang, Kabupaten Sleman",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJh4lcYWNXei4RRLYnb69fzBs,Gaia Cosmo Hotel,"Jl. Ipda Tut Harsono No.16, Muja Muju, Kota Yogyakarta",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJq4EIBphZei4R5WoGQPB1sAg,Urbanview Hotel Near Jogja City Mall,"Jalan Semboja, RT 01/1, Padukuhan, Baturan, Trihanggo, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJp_9xozlYei4RxMLx3j6Qkig,Adya Nalendra Boutique Hotel,"Jl. Tri Margo Kulon No.9A, Karangwaru, Kota Yogyakarta",4.1,"['lodging', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJN5ocxc1Zei4RuNZbrkX7R54,Grand Aston Yogyakarta Hotel & Convention Center,"Jl. Urip Sumoharjo No.37, Klitren, Kota Yogyakarta",4.6,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJIbvBUIVXei4RHACy6UnOhLA,Ndalem Maharani Guest House,"Jl. Sawojajar No.6, Panembahan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJ0ZmjRs5Zei4RfkxRGlKhl5E,De Laxston Hotel,"No.139 A, Jl. Urip Sumoharjo, Klitren, Yogyakarta City",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJsRiizCVYei4Rbk3n-TcJEuE,Unisi Hotel Malioboro,"Jl. Ps. Kembang No.42, Sosromenduran, Kota Yogyakarta",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJZZlnpoJXei4RbReW93Bsncw,RedDoorz Plus @ Taman Siswa 3,"Jl. Taman Siswa No.9, Wirogunan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJt3t9Q8VZei4RkSgB98AtnvI,Hotel New Saphir Yogyakarta,"Jl. Laksda Adisucipto No.38, Demangan, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJoWoQDDBYei4RoYS7prhy-Ms,Harper Malioboro Yogyakarta,"Harper malioboro yogyakarta, Jl. P. Mangkubumi No.52, Gowongan, Yogyakarta City",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJveL9EodXei4RcCafEw2OILo,Front One Cabin Malioboro Jogja,"Jl. Jagalan - Beji Jl. Beji No.61, Purwokinanti, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJl5pchSZYei4RjIHNpO6M31E,Oryza Hotel Malioboro RedPartner,"Sosrowijayan St No.49-51, Sosromenduran, Yogyakarta City",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJqV3xCVNYei4RSSgZtJvaNKQ,AMAYA SUITES,"Jalan Pogung Kidul No.181, Sinduadi, Mlati, Pogung Kidul, Sinduadi, Kabupaten Sleman",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJ5X-UNHdXei4RSmkgKysN7B0,Tirtodipuran Hotel,"Tirtodipuran St No.5, Mantrijeron, Yogyakarta City",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJk7x8PMVZei4R2tlJox6P9LU,The Victoria Hotel Yogyakarta,"Jl. Laksda Adisucipto KM.5, Tempel, Caturtunggal, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJgXKFDElYei4RufKyHeOwKlI,Tembok Batu Residence,"Jalan Sendowo E No. 106, Sendowo, Sinduadi, Kabupaten Sleman",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJDw6nshhYei4Rc8E6R_IZVQs,Agung Mas Hotel Yogyakarta,"Jl. HOS Cokroaminoto No.108, Tegalrejo, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJhWBnNlBZei4Ru1OuYy2vl2E,RedDoorz near UMY Yogyakarta 3,"Jl. Ring Road Utara, Area Sawah, Banyuraden, Kabupaten Sleman",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJaweQoodXei4RRPPqIyYxdS8,Malioboro Palace Hotel,"Sosrowijayan St No.3-5, Sosromenduran, Yogyakarta City",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJVzBo9KJXei4Rfn1jD1Jt6Zs,YezYezYez Yogyakarta,"Gg. Batik Gringsing No.509, Brontokusuman, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJp8ZBrzxZei4R_6qrAb0hex8,The Manohara Hotel Yogyakarta,"Jl. Affandi No.35, Gejayan, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJNaQSRsNZei4RB4YhoLS1pds,Yellow Star Hotel - Ambarrukmo,"Jl. Laksda Adisucipto No.23, Papringan, Caturtunggal, Kabupaten Sleman",4.3,"['lodging', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJMfgiFHdZei4RWXGFfxl7Thw,J&M FOOD HOUSE,"Jl. Titi Bumi Timur No.25a, Sumberan, Ngestiharjo, Kabupaten Bantul",3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJGc_p34RZei4RUTTe50iRxiQ,ARKA BOGA FOOD COURT,"Jl. Sorowajan Baru No.RT.19, Jomblangan, Banguntapan, Kabupaten Bantul",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJeZ4hctBZei4Rbmej2hl3V4w,Gejayan Street Food,"Jl.Gejayan Soropdan CCXII/24, Soropadan, Condongcatur, Kabupaten Sleman",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJQUfETo5Xei4RGpzD82b_VQw,Rumah Makan Sea Food 99,"59W7+36C, Unnamed Road, Kadipaten, Kota Yogyakarta",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJb-SZak1Zei4Rc6uCQ7xzzv8,Food Truck Barsa City,"Ngentak, Caturtunggal, Sleman Regency",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJy2rNAqVXei4RZ4kgN1PndyI,Dina's Food,"Jl. Affandi No.55, Mrican, Caturtunggal, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJJyToorJXei4Re_829NltNfI,Warmindo Enway Food,"Gg. Sengon Jl. Raya Janti No.168, RT.4/RW.2, Gowok, Caturtunggal, Kabupaten Sleman",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJP-gP1sdZei4ROnhPVGOx4F0,Tio Ciu Chinese Food Bang Sinyo,"Jl. Moses Gatotkaca No.16, Mrican, Caturtunggal, Kabupaten Sleman",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJq5k21F9Xei4Rdvqk3U-SZaU,99 Choliz Food,"Jl. Sonosewu, timur Superindo, Sonosewu, Kabupaten Bantul",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJq1NkBb9Zei4R1CGSs5DVGro,NANG NDUD food,"Jl. Sumberan No.331, Soragan, Ngestiharjo, Kabupaten Bantul",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJg3XocVtYei4R4QWx4FSBLss,Chinese Food 99,"Jl. Magelang No.135 49, Kutu Asem, Sinduadi, Kabupaten Sleman",3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ3-Fji7lXei4REtfqid2XtZs,Fast Food Restaurant,"Krapyak Kulon, Panggungharjo, Bantul Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJX900A11Yei4RVyNQ82OYoa4,Fast Food Restaurant,"69P4+FXR, Jl. Bangau, Kutu Patran, Sinduadi, Kabupaten Sleman",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJUY6-nN5Zei4R-5oLvO6C7RA,Rumah Makan & Sea Food 99,"Jl. Sorowajan Baru No.276, Tegal Tanda, Banguntapan, Kabupaten Bantul",4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJTWQEmQj4ei4RVwyfAaVcI3c,Mpt Tatiek Resto,"Jl. Sugeng Jeroni Gg. Bugisan RW.06, Jl. Bugisan Kecamatan, RT.03/RW.06, Jomegatan, Patangpuluhan, Kota Yogyakarta",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJTXnINj9Yei4R67U853oBhuA,Fast Food Restaurant,"Kricak, Yogyakarta City",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJqyS6HHFZei4RlcltN2H1cBs,Pak Trimbil Fresh Milk & Food,"Jl. Jombor Lor No.04/19/139, Jombor Lor, Sinduadi, Kabupaten Sleman",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJa-YmH4lZei4RRB01-VYPXOc,Chineese Food Muslim Pak Joko,"69QH+3FQ, Kocoran, Caturtunggal, Sleman Regency",4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJBb3_gJBZei4RCog8yYO4uXM,Kampung2 Food service,"Jl.intan blok H20 Pengok pjka GK I No.655 C, Demangan, Kota Yogyakarta",4.5,"['restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
ChIJN6MvySdYei4RtnkN_7TDtnI,Bu Joko’s Food Cart,"Jl. Dagen No.2A 001, Sosromenduran, Kota Yogyakarta",4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJPXgjmqT5ei4R1PzypHKxMwg,Hak Food Jogja,"58RG+3P2, Gg. Margorukun, Geblagan, Tamantirto, Kabupaten Bantul",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ2cVUf_JZei4RRVHSYXRY8fs,Cak No Chinese Food,"6979+WC2, Gowongan, Yogyakarta City",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJRRu6OMJZei4Rd7wU9hQgj7Y,Fast Food Restaurant,"Tempel, Caturtunggal, Sleman Regency",2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ71fguzFXei4RScoo5l9u3cc,Tuman Yo Food,"Jl Gedong Kuning Selatan, Jl. Gedongan Baru Jl. Pelemwulung No.8B, Pelem Mulong, Banguntapan, Kabupaten Bantul",5,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJU4QlnBxZei4RdIcfqaZ55po,Food Court UGM Baru,"Sendowo, Sinduadi, Sleman Regency",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJbT1hxMdZei4RBEsa73CALZE,Keray Indah Chinese Food,"Jl. Moses Gatotkaca No.8, Mrican, Caturtunggal, Kabupaten Sleman",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJY7OwZSNZei4RLAlni81EiiM,"Food Place ""51"" Swakarya","69PJ+FFV, Kocoran, Caturtunggal, Sleman Regency",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJSSKJqblXei4RrR_zvSCxo-c,Hot Shop Street Food,"Gg. Mulyadi Gg. MG II No.64, Wirogunan, Kota Yogyakarta",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJI_Wmq3FZei4R7SYDsvUHPAM,Kalluna,"Jl. Sajiono No.13, Kotabaru, Kota Yogyakarta",4.6,"['restaurant', 'cafe', 'point_of_interest', 'food', 'establishment']"
ChIJGVWHzApYei4RTD1XiRZwLX8,Fast Food Restaurant,"Nogosaren, Nogotirto, Sleman Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJf_D0XChZei4RheI7KsNuQQM,Mie Kota kembang Chinese food & sea food,"Jl. Perumnas No.138, Nologaten, Caturtunggal, Kabupaten Sleman",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJa8H1re5Xei4RdDo61W6EWBk,Yuu-mi Japanese food,"Jl. Lowanu No.20, Sorosutan, Kota Yogyakarta",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ55CLeXdZei4RGEt9VW5jCSU,Chinese Food & Sea Food 99 Bang Kumis,"69R6+QGX, Jl. Kutu Tegal, Kutu Asem, Sinduadi, Kabupaten Sleman",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJW3JaovhZei4R5PhExJ68VPQ,Pork Roast,"Jln. Profesor Jl. Prof. Herman Yohanes, Terban, Kabupaten Sleman",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJj7lrQhJYei4R3B4X49I-MCY,Sea Food Cak Ragil,"68CV+2P3, Kwarasan, Nogotirto, Kabupaten Sleman",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJOyZPOtlZei4R0Vm6QAXzAtw,Chinese Food 88,"69X7+452, Kutu Tegal, Sinduadi, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJOy2OhL9Zei4R2Zumi7EhTzM,Food by Nio,"Gg. Nakula No.51, Ambarukmo, Caturtunggal, Kabupaten Sleman",4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJo3eXS1JYei4RtW5mo0PVT88,Bubur Ayam Dan Soto Ayam Fast Food Restaurant,"Pogung Kidul, Sinduadi, Sleman Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJS9YbR_VZei4R5QMI-4iL6nM,AW Food,"Jl. Babarsari Ruko Babarsari No.44, Kledokan, Caturtunggal, Kabupaten Sleman",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ22Hh4_pZei4R7DU1AtuWS2Y,ikono food & drink,"Jl. Kronggohan, Kranggahan I, Trihanggo, Kabupaten Sleman",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJEXMFxYZXei4R_HymnotMg1c,bunbun food yk,"Jl. Karawitan Jl. Bekelan Tirtonimolo No.2b RT.01, Sanggrahan, Ngestiharjo, Kabupaten Bantul",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJGTECtKNZei4Rsi7_UFVPLQM,Berkat Rasa Halal Chinese Food,"Jl. Letjen Suprapto No.43, Pringgokusuman, Kota Yogyakarta",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJdyrFKJdZei4Ru6U6_2d7AEU,Distributor frozen food premium jogja utara,"Dusun pondok blok, Gg. I No.8, Pondok, Condongcatur, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJswG541tYei4RNjRdxYoKO0s,Mbak Linna Chinese Food 99,"Magelang St No.100, Kutu Asem, Sinduadi, Sleman Regency",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJi_xiUrBXei4RvbMHiEz5KUI,Mami Lepi Food,"5CH3+M36, Jl. Pringgolayan, Purbayan, Kota Yogyakarta",4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJvz1nOWpXei4RIYmGYZ6hUmY,Korean Street Food,"Jl. Rejowinangun Gg. Kristal Ruko No.4C, Rejowinangun, Kota Yogyakarta",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJi2jCFoRZei4Rjn4_ZEx4juk,KD Frozen Food Jogja,"Jalan arah depok/kota komplek pertokoan kledokan no 49 Kel, Kledokan, Catur tunggga, Kabupaten Sleman",4.7,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
